algorithm_name,run_id,TOTAL_TAGS,BIT_ERROR_RATE,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,FP,FN,Reliability,Goodput,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
CR_MTI,9,500,0.01,0.5,1393055.0,1.3930549999999977,0.004169450000000022,510,0,509,1,0.0,30.0,0.0,0.94,337.38797104206225,1393.055,1.393055,1.3972244499999977,0.9803921568627451,2794.4488999999953,0.14356934937960095,358.9233734490024,1.9464105061947468,0.9980392156862745
CPT,9,500,0.01,0.5,206500.0,0.20650000000000043,0.0005249124999999981,258,138,56,64,0.5348837209302325,2.0,0.0,0.996,2411.6222760290557,206.5,0.2065,0.20702491250000044,1.937984496124031,414.0498250000009,0.9685230024213075,2421.3075060532688,0.04275064443125009,0.21705426356589147
ECUMI,9,500,0.01,0.5,258532.5,0.25853249999999794,0.00066005625,378,60,75,243,0.15873015873015872,2.0,0.0,0.996,1926.2568535870732,258.5325,0.2585325,0.25919255624999793,1.3227513227513228,518.3851124999959,0.7735971299546478,1933.9928248866197,0.06700969954870259,0.1984126984126984
ISMTI,9,500,0.01,0.5,96987.5,0.09698750000000003,0.0005457597500000001,22,0,21,1,0.0,13.0,1.0,0.972,5010.955019976801,96.9875,0.0969875,0.09753325975000003,22.727272727272727,195.06651950000006,2.0621214073978607,5155.303518494651,0.00945950703000313,0.9545454545454546
LODS_MTI,9,500,0.01,0.5,85020.0,0.08502000000000001,0.00034685250000000004,12,0,12,0,0.0,0.0,0.0,1.0,5880.969183721478,85.02,0.08502,0.0853668525,41.666666666666664,170.73370500000001,2.352387673488591,5880.969183721478,0.00725788979955,1.0
LODS_MTI_128b,9,500,0.01,0.5,96760.0,0.09676000000000001,0.0003396985000000001,16,0,16,0,0.0,0.0,0.0,1.0,5167.4245556014885,96.76,0.09676,0.09709969850000001,31.25,194.19939700000003,2.066969822240595,5167.4245556014885,0.009395366826860001,1.0
CT_MTI,24,500,0.09500000000000001,0.5,259700.0,0.25969999999999793,0.0006995924000000013,258,117,137,4,0.45348837209302323,84.0,15.0,0.802,1544.0893338467463,259.7,0.2597,0.26039959239999794,1.937984496124031,520.7991847999958,0.7701193685021178,1925.2984212552947,0.06762577414627946,0.5310077519379846
CR_MTI,24,500,0.09500000000000001,0.5,1394850.0,1.3948499999999975,0.00417393750000002,510,4,506,0,0.00784313725490196,194.0,0.0,0.612,219.37842778793419,1394.85,1.39485,1.3990239374999975,0.9803921568627451,2798.0478749999947,0.1433845933254472,358.461483313618,1.9514285392218715,0.9921568627450981
CPT,24,500,0.09500000000000001,0.5,205485.0,0.20548500000000033,0.0005223749999999983,258,124,63,71,0.4806201550387597,24.0,0.0,0.952,2316.4707886220403,205.485,0.205485,0.20600737500000033,1.937984496124031,412.0147500000006,0.9733070540428741,2433.2676351071855,0.042331425451875064,0.2441860465116279
ECUMI,24,500,0.09500000000000001,0.5,257792.5,0.2577924999999979,0.0006582062499999998,378,56,77,245,0.14814814814814814,22.0,22.0,0.912,1768.864493730423,257.7925,0.2577925,0.25845070624999794,1.3227513227513228,516.9014124999959,0.77581776040808,1939.5444010202004,0.0666266536909526,0.2037037037037037
ISMTI,24,500,0.09500000000000001,0.5,91515.0,0.09151500000000003,0.0004927152,21,0,20,1,0.0,69.0,9.0,0.844,4611.265912691909,91.515,0.091515,0.09200771520000002,23.80952380952381,184.01543040000004,2.185434081844506,5463.585204611266,0.008420086056528001,0.9523809523809523
LODS_MTI,24,500,0.09500000000000001,0.5,93825.0,0.09382500000000002,0.00034146900000000006,15,0,15,0,0.0,10.0,0.0,0.98,5222.488675726086,93.825,0.093825,0.09416646900000002,33.333333333333336,188.332938,2.1316280309086064,5329.070077271515,0.008835168953925002,1.0
LODS_MTI_128b,24,500,0.09500000000000001,0.5,96760.0,0.09676000000000001,0.0003395905000000001,16,0,16,0,0.0,11.0,0.0,0.978,5053.741215378255,96.76,0.09676,0.09709959050000001,31.25,194.19918100000004,2.066969822240595,5167.4245556014885,0.009395356376780002,1.0
CT_MTI,14,500,0.05999999999999999,0.5,274280.0,0.2742799999999981,0.0007394372000000006,272,101,169,2,0.3713235294117647,47.0,4.0,0.898,1637.0132711098147,274.28,0.27428,0.2750194371999981,1.838235294117647,550.0388743999963,0.7291818579553742,1822.954644888435,0.07543233123521549,0.6213235294117647
CR_MTI,14,500,0.05999999999999999,0.5,1394850.0,1.3948499999999975,0.004173937500000023,510,4,506,0,0.00784313725490196,145.0,0.0,0.71,254.50765315266875,1394.85,1.39485,1.3990239374999975,0.9803921568627451,2798.0478749999947,0.1433845933254472,358.461483313618,1.9514285392218715,0.9921568627450981
CPT,14,500,0.05999999999999999,0.5,206065.0,0.2060650000000004,0.0005238249999999983,258,132,59,67,0.5116279069767442,13.0,0.0,0.974,2363.3319583626526,206.065,0.206065,0.2065888250000004,1.937984496124031,413.17765000000077,0.9705675393686458,2426.4188484216147,0.04257072622362508,0.22868217054263565
ECUMI,14,500,0.05999999999999999,0.5,257052.5,0.2570524999999979,0.0006563562499999997,378,52,79,247,0.13756613756613756,14.0,12.0,0.948,1843.9812878692094,257.0525,0.2570525,0.2577088562499979,1.3227513227513228,515.4177124999958,0.7780511763161222,1945.1279407903053,0.06624470577120259,0.20899470899470898
ISMTI,14,500,0.05999999999999999,0.5,108930.0,0.10893000000000005,0.00057464805,25,0,24,1,0.0,39.0,9.0,0.904,4149.453777655375,108.93,0.10893,0.10950464805000006,20.0,219.0092961000001,1.8360414945377765,4590.103736344441,0.011928341312086506,0.96
LODS_MTI,14,500,0.05999999999999999,0.5,93825.0,0.09382500000000002,0.00034092900000000007,15,0,15,0,0.0,3.0,1.0,0.992,5286.437516653344,93.825,0.093825,0.09416592900000002,33.333333333333336,188.33185800000004,2.1316280309086064,5329.070077271515,0.008835118288425002,1.0
LODS_MTI_128b,14,500,0.05999999999999999,0.5,96760.0,0.09676000000000001,0.0003390505000000001,16,0,16,0,0.0,6.0,0.0,0.988,5105.41546093427,96.76,0.09676,0.0970990505,31.25,194.19810100000004,2.066969822240595,5167.4245556014885,0.00939530412638,1.0
CT_MTI,15,500,0.09000000000000001,0.5,242530.0,0.24252999999999794,0.0006561292000000009,241,95,142,4,0.3941908713692946,88.0,14.0,0.796,1641.034098874366,242.53,0.24253,0.24318612919999794,2.074688796680498,486.37225839999587,0.8246402506906362,2061.6006267265907,0.0589799319148755,0.5892116182572614
CR_MTI,15,500,0.09000000000000001,0.5,1394850.0,1.3948499999999975,0.004173937500000021,510,2,508,0,0.00392156862745098,185.0,0.0,0.63,225.83073448757932,1394.85,1.39485,1.3990239374999975,0.9803921568627451,2798.0478749999947,0.1433845933254472,358.461483313618,1.9514285392218715,0.996078431372549
CPT,15,500,0.09000000000000001,0.5,206065.0,0.20606500000000036,0.0005238249999999983,258,132,59,67,0.5116279069767442,23.0,0.0,0.954,2314.80358139422,206.065,0.206065,0.20658882500000036,1.937984496124031,413.1776500000007,0.9705675393686458,2426.4188484216147,0.04257072622362507,0.22868217054263565
ECUMI,15,500,0.09000000000000001,0.5,256312.5,0.25631249999999783,0.0006545062499999997,378,51,78,249,0.1349206349206349,19.0,20.0,0.922,1798.5857108022433,256.3125,0.2563125,0.25696700624999785,1.3227513227513228,513.9340124999957,0.7802974884174592,1950.7437210436478,0.06586385578945257,0.20634920634920634
