total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Drift_Percent,Payload_Bits,Run_ID
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,31
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,32
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,33
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,32
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,33
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,34
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,35
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,34
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,35
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,36
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,36
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,37
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,38
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,37
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,38
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,39
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,0
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,39
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,0
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,1
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,1
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,2
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,3
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,2
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,3
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,4
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,5
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,4
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,5
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,6
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,7
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,6
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,7
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,8
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,9
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,8
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,9
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,11
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,10
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,12
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,10
