algorithm_name,run_id,Round,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Time_ms,Recall,Env_Severity,Real_BER,total_time_ms,total_time_s,total_energy_j,edp,collision_rate
Fixed-Fast,0,28,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,26,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,26,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,28,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,27,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,29,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,29,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,28,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,30,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,29,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,30,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,31,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Fast,0,32,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,30,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,31,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,31,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,32,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,33,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,33,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,32,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,34,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Fast,0,35,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,34,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,33,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Robust,0,34,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,35,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,36,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Fast,0,37,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,35,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,36,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Adaptive,0,37,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,38,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,36,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,39,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,38,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,37,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Robust,0,38,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,40,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,39,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,41,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,39,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,40,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,40,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,42,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,41,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,43,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,42,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,41,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,44,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,43,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,42,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,44,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,45,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,43,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Robust,0,44,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,46,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,45,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Adaptive,0,46,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,47,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,45,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Robust,0,46,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,47,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,48,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Fast,0,49,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,48,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,50,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,47,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,49,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Adaptive,0,50,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,48,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Robust,0,49,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,51,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,50,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,52,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,1,9.866357858642206e-05,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,51,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Adaptive,0,52,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,1,9.866357858642206e-05,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,53,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,1,0.0003942649342761062,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,51,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,54,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,0.996993987975952,1,0.000885637463565564,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,52,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,1,9.866357858642206e-05,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,54,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,0.9939879759519038,1,0.000885637463565564,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Adaptive,0,53,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,1,0.0003942649342761062,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,55,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,0.9959839357429718,1,0.0015708419435684464,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,53,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,1,0.0003942649342761062,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Robust,0,54,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,1,0.000885637463565564,146.56,0.14656,0.14656,0.021479833599999998,1.0
