algorithm_name,run_id,TOTAL_TAGS,BER,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,System_Throughput,Total_Time_ms,Algorithm_Type,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
LODS-MTI (Arbitrary K),7,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),8,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),9,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),10,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),11,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),12,200,0.0,31677.5,0.0316775,0.0,4,1,3,0,0.25,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,0.75
LODS-MTI (Arbitrary K),14,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),13,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),15,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),16,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),17,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Power-of-2),1,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Limit,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),18,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
