K,Rho,Run_ID,Drift_Val,Scenario
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
40,4,10,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
64,4,12,0.0,Ideal (Drift=0%)
40,4,12,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
64,4,14,0.0,Ideal (Drift=0%)
40,4,14,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
64,4,13,0.0,Ideal (Drift=0%)
40,4,13,0.0,Ideal (Drift=0%)
