algorithm_name,run_id,TOTAL_TAGS,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
Fixed (rho=4),19,400,0.1,113375.0,0.11337499999999999,0.0004983839999999997,25,0,25,0,0.0,113.375,0.113375,0.113873384,16.0,284.68345999999997,1.4112458654906284,3528.114663726571,0.012910394911,1.0
Adaptive (Ours),7,800,0.1,117610.0,0.11761000000000002,0.0010272599999999997,26,0,26,0,0.0,117.61,0.11761,0.11863726000000002,30.76923076923077,148.29657500000002,2.720857069977043,6802.142674942606,0.013952928148600004,1.0
Fixed (rho=4),11,100,0.1,27585.0,0.027585,5.20461e-05,6,0,6,0,0.0,27.585,0.027585,0.0276370461,16.666666666666668,276.370461,1.450063440275512,3625.1586006887806,0.0007623679166684999,1.0
Fixed (rho=3),16,700,0.1,116795.0,0.11679500000000008,0.0009383760000000002,22,0,22,0,0.0,116.795,0.116795,0.11773337600000008,31.818181818181817,168.19053714285727,2.3973629008091097,5993.4072520227755,0.013750669649920009,1.0
Fixed (rho=3),1,700,0.1,116795.0,0.11679500000000008,0.0009383220000000002,22,0,22,0,0.0,116.795,0.116795,0.11773332200000008,31.818181818181817,168.19046000000012,2.3973629008091097,5993.4072520227755,0.01375066334299001,1.0
Fixed (rho=4),12,800,0.1,226750.0,0.22675000000000023,0.001813067999999999,50,0,50,0,0.0,226.75,0.22675,0.22856306800000023,16.0,285.7038350000003,1.4112458654906284,3528.114663726571,0.05182667566900005,1.0
Fixed (rho=4),10,400,0.1,113375.0,0.11337499999999999,0.0004983839999999997,25,0,25,0,0.0,113.375,0.113375,0.113873384,16.0,284.68345999999997,1.4112458654906284,3528.114663726571,0.012910394911,1.0
Fixed (rho=2),2,300,0.1,44237.5,0.04423750000000001,0.00018603675000000003,10,0,10,0,0.0,44.2375,0.0442375,0.04442353675000001,30.0,148.07845583333338,2.712630686634643,6781.576716586606,0.0019651862069781255,1.0
Adaptive (Ours),18,600,0.1,90075.0,0.09007500000000003,0.000620928,20,0,20,0,0.0,90.075,0.090075,0.09069592800000004,30.0,151.15988000000007,2.6644462947543714,6661.1157368859285,0.008169435714600003,1.0
Adaptive (Ours),16,900,0.1,133512.5,0.13351250000000003,0.0012836767499999995,30,0,30,0,0.0,133.5125,0.1335125,0.13479617675000002,30.0,149.77352972222224,2.6963767437505854,6740.941859376462,0.01799697454833438,1.0
Adaptive (Ours),13,500,0.1,76307.5,0.07630750000000004,0.0004550962500000002,17,0,17,0,0.0,76.3075,0.0763075,0.07676259625000004,29.41176470588235,153.52519250000006,2.6209743472135765,6552.435868033942,0.0058575618133468775,1.0
Adaptive (Ours),17,500,0.1,76307.5,0.07630750000000004,0.00045531225000000023,17,0,17,0,0.0,76.3075,0.0763075,0.07676281225000005,29.41176470588235,153.5256245000001,2.6209743472135765,6552.435868033942,0.0058575782957668784,1.0
Fixed (rho=3),16,600,0.1,100527.5,0.10052750000000006,0.0007158375,19,0,19,0,0.0,100.5275,0.1005275,0.10124333750000006,31.57894736842105,168.73889583333343,2.3874064310760734,5968.516077690184,0.010177739610531256,1.0
Fixed (rho=2),9,800,0.1,113062.5,0.11306250000000002,0.0009945179999999996,25,0,25,0,0.0,113.0625,0.1130625,0.11405701800000002,32.0,142.57127250000002,2.830292979546711,7075.732448866777,0.012895571597625003,1.0
Fixed (rho=4),17,800,0.1,226750.0,0.22675000000000023,0.001813067999999999,50,0,50,0,0.0,226.75,0.22675,0.22856306800000023,16.0,285.7038350000003,1.4112458654906284,3528.114663726571,0.05182667566900005,1.0
